_id	Tarih	Omerli	Darlik	Elmali	Terkos	Alibey	Buyukcekmece	Sazlidere	Kazandere	Pabucdere	Istrancalar
1	2011-01-01T00:00:00	80,07%	84,86%	96,25%	91,87%	42,48%	85,99%	79,10%	93,90%	94,19%	99,99%
2	2011-02-01T00:00:00	80,07%	85,02%	96,67%	91,68%	42,71%	86,17%	79,21%	92,80%	93,11%	99,99%
3	2011-03-01T00:00:00	80,07%	85,07%	96,88%	91,68%	42,79%	86,55%	79,31%	91,39%	91,71%	99,99%
4	2011-04-01T00:00:00	80,07%	85,18%	95,00%	92,44%	43,34%	86,74%	79,96%	90,65%	90,99%	99,99%
5	2011-05-01T00:00:00	80,61%	85,98%	95,21%	92,63%	45,81%	87,30%	80,37%	90,93%	91,26%	99,99%
6	2011-06-01T00:00:00	80,92%	86,40%	96,98%	93,02%	46,70%	87,49%	80,62%	91,48%	91,80%	99,99%
7	2011-07-01T00:00:00	80,99%	86,67%	96,15%	93,21%	47,26%	87,68%	80,88%	91,58%	91,90%	99,99%
8	2011-08-01T00:00:00	80,84%	86,77%	97,40%	93,40%	47,75%	87,87%	81,06%	91,58%	91,90%	99,99%
9	2011-09-01T00:00:00	80,92%	86,93%	97,60%	93,21%	48,16%	88,05%	81,06%	91,48%	91,80%	99,99%
10	2011-10-01T00:00:00	80,76%	86,88%	97,50%	93,21%	48,33%	88,05%	81,24%	91,48%	91,80%	99,99%
11	2011-11-01T00:00:00	80,61%	86,88%	97,29%	93,02%	48,49%	88,24%	81,33%	91,21%	91,53%	99,99%
12	2011-12-01T00:00:00	80,45%	86,77%	97,50%	92,83%	48,57%	88,24%	81,33%	91,11%	91,44%	99,99%
13	2011-01-13T00:00:00	80,38%	86,67%	97,50%	92,83%	48,82%	88,24%	81,60%	90,93%	91,26%	99,99%
14	2011-01-14T00:00:00	80,22%	86,56%	97,71%	92,63%	48,82%	88,24%	81,69%	90,93%	91,26%	99,99%
15	2011-01-15T00:00:00	79,99%	86,46%	98,02%	92,63%	48,82%	88,24%	81,60%	90,93%	91,26%	99,99%
16	2011-01-16T00:00:00	79,84%	86,30%	97,40%	92,63%	48,74%	88,24%	81,60%	90,93%	91,26%	99,99%
17	2011-01-17T00:00:00	79,76%	86,19%	96,35%	93,59%	48,90%	88,62%	81,79%	91,48%	91,80%	99,99%
